year,stateProvince,decimalLatitude,decimalLongitude
1986,Tasmania,-43.437104,147.000984
1986,Tasmania,-43.554304,146.895021
1986,Tasmania,-41.90613,148.32039
1986,Tasmania,-42.950881,147.990801
1986,Tasmania,-43.143353,147.859825
1986,Tasmania,-43.162781,147.866422
1986,Tasmania,-42.984624,147.964029
1986,Tasmania,-42.868776,147.957753
1986,Tasmania,-43.546492,146.918061
1986,Tasmania,-43.409332,147.098008
1986,Tasmania,-43.348215,147.324652
1986,Tasmania,-42.739109,147.927322
1986,Tasmania,-43.158819,147.39781
1986,Tasmania,-43.115536,147.979167
1986,Tasmania,-42.971763,147.989141
1986,Tasmania,-43.471253,147.185199
1986,Tasmania,-43.352716,147.05987
1986,Tasmania,-43.425018,147.019712
1986,Tasmania,-42.57187,148.066024
1986,Tasmania,-42.209084,148.347206
1986,Tasmania,-43.540934,146.95288
1986,Tasmania,-43.35582,147.330608
1986,Tasmania,-42.258129,148.320099
1986,Tasmania,-42.579944,148.087551
1986,Tasmania,-41.790137,148.270188
1986,Tasmania,-42.564821,148.074408
1986,Tasmania,-40.972909,148.323008
1986,Tasmania,-43.49418,147.143317
1986,Tasmania,-43.576934,146.92369
1986,Tasmania,-43.412311,147.117842
1986,Tasmania,-43.09496,147.37707
1986,Tasmania,-43.183061,147.86684
1986,Tasmania,-41.752418,148.300108
1986,Tasmania,-43.079635,147.961203
1986,Tasmania,-43.493412,147.135359
1986,Tasmania,-43.398972,147.362206
1986,Tasmania,-43.035582,147.339205
1986,Tasmania,-43.348707,147.368511
1986,Tasmania,-43.40781,147.020688
1986,Tasmania,-42.931412,147.993165
1986,Tasmania,-43.102381,147.974155
1986,Tasmania,-40.979719,148.33035
1986,Tasmania,-43.007761,147.942748
1986,Tasmania,-42.879741,147.966589
1986,Tasmania,-43.413328,147.097236
1986,Tasmania,-43.476469,147.008695
1986,Tasmania,-43.486751,147.005203
1986,Tasmania,-42.326897,148.277849
1986,Tasmania,-43.11044,147.980214
